Index,NumMatches,NumInliers,MaxAge,pose00,pose01,pose02,pose03,pose10,pose11,pose12,pose13,pose20,pose21,pose22,pose23,pose30,pose31,pose32,pose33,motion00,motion01,motion02,motion03,motion10,motion11,motion12,motion13,motion20,motion21,motion22,motion23,motion30,motion31,motion32,motion33,errorR,errorT,errorM,motion,gtMotion
1,771,492,0,0.999983,0.000285201,0.00589531,0,-0.000278213,0.999999,-0.00118626,0,-0.00589564,0.0011846,0.999982,0,-0.0100857,-0.0159198,0.0890968,1,0.999983,-0.000278213,-0.00589564,0,0.000285201,0.999999,0.0011846,0,0.00589531,-0.00118626,0.999982,0,0.00956482,0.0160227,-0.0891358,1,0.0740187,0.0151602,0.0151602,0.0910681,0.0916799
2,410,300,1,0.999912,-0.000543099,0.0132713,0,0.000575965,0.999997,-0.00247277,0,-0.0132699,0.0024802,0.999909,0,-0.01107,-0.0354043,0.178654,1,0.999972,0.000846578,-0.0073742,0,-0.00083703,0.999999,0.00129774,0,0.00737529,-0.00129153,0.999972,0,-0.000214863,0.0197064,-0.0895135,1,0.13417,0.0318601,0.0182878,0.0916573,0.0943795
3,416,259,2,0.999797,-0.00185325,0.0200487,0,0.00187941,0.999997,-0.00128576,0,-0.0200463,0.00132318,0.999798,0,-0.0329215,-0.0308456,0.273867,1,0.999976,0.00131908,-0.00677664,0,-0.00132698,0.999998,-0.00116065,0,0.0067751,0.00116961,0.999976,0,0.0199465,-0.00439519,-0.0956383,1,0.11535,0.0300711,0.0161701,0.097795,0.0980509
4,368,216,3,0.999559,-0.00324616,0.0295021,0,0.00316969,0.999991,0.00263831,0,-0.0295104,-0.00254364,0.999561,0,-0.0425341,-0.0215876,0.36549,1,0.999954,0.00136871,-0.00945978,0,-0.00140551,0.999991,-0.00388429,0,0.00945438,0.0038974,0.999948,0,0.00693537,-0.00946916,-0.091843,1,0.0884693,0.0298365,0.015323,0.09259,0.104434
5,368,191,4,0.999198,-0.00397506,0.0398532,0,0.00368522,0.999966,0.00734364,0,-0.0398811,-0.00719088,0.999179,0,-0.0636896,-0.00895982,0.481463,1,0.999946,0.000654193,-0.0103623,0,-0.00070273,0.999989,-0.00468109,0,0.0103591,0.00468812,0.999935,0,0.0165669,-0.0134011,-0.11663,1,0.245493,0.0287912,0.0151213,0.118561,0.114702
6,388,210,5,0.998495,-0.00354584,0.0547193,0,0.00311989,0.999964,0.0078677,0,-0.0547452,-0.00768514,0.998471,0,-0.0655291,-0.0267133,0.610934,1,0.999889,-0.000543977,-0.0148785,0,0.000535791,1,-0.000554217,0,0.0148788,0.000546184,0.999889,0,-0.0053108,0.0167399,-0.129511,1,0.195835,0.0258334,0.0231028,0.130696,0.127968
7,359,198,6,0.997505,-0.00351813,0.0705093,0,0.00300204,0.999968,0.00742408,0,-0.0705332,-0.00719389,0.997483,0,-0.0969488,-0.0323545,0.738252,1,0.999875,-0.000141964,-0.0158199,0,0.000148852,1,0.000434216,0,0.0158199,-0.000436517,0.999875,0,0.0223443,0.00479012,-0.129254,1,0.167859,0.0396239,0.0152908,0.131258,0.140857
8,405,202,7,0.995962,-0.000567781,0.0897758,0,-6.40849e-05,0.999975,0.00703522,0,-0.0897776,-0.00701257,0.995937,0,-0.108786,-0.0309522,0.899948,1,0.999809,-0.00308592,-0.0193061,0,0.00308865,0.999995,0.000112061,0,0.0193057,-0.000171669,0.999814,0,-0.00272621,-0.00254059,-0.162092,1,0.153233,0.0281927,0.0174903,0.162135,0.154501
9,354,193,8,0.99398,0.000999982,0.109558,0,-0.00176903,0.999974,0.00692257,0,-0.109548,-0.00707471,0.993956,0,-0.144466,-0.0383788,1.05287,1,0.999801,-0.00170817,-0.0198685,0,0.00170702,0.999999,-7.48107e-05,0,0.0198686,4.08799e-05,0.999803,0,0.0187188,0.00630476,-0.15596,1,0.160713,0.0393763,0.0118435,0.157206,0.165951
10,367,168,9,0.991064,0.00263064,0.133359,0,-0.00346165,0.999976,0.00599991,0,-0.13334,-0.00640794,0.99105,0,-0.15972,-0.0632122,1.22065,1,0.999711,-0.00178352,-0.0239661,0,0.00180054,0.999998,0.00068872,0,0.0239648,-0.000731673,0.999713,0,-0.00719211,0.0237733,-0.168475,1,0.211218,0.0603958,0.0323862,0.170296,0.174186
11,404,188,10,0.987687,-0.00511605,0.156359,0,0.00344423,0.999934,0.0109613,0,-0.156404,-0.0102878,0.98764,0,-0.231345,-0.0611607,1.3842,1,0.9997,0.00750571,-0.0233235,0,-0.00759682,0.999964,-0.00382037,0,0.023294,0.00399641,0.999721,0,0.0451822,-0.00359729,-0.172704,1,0.262443,0.0565859,0.0248404,0.178552,0.181683
12,382,156,11,0.983433,-0.0121291,0.180867,0,0.00972443,0.999852,0.0141762,0,-0.181012,-0.0121825,0.983405,0,-0.316066,-0.0972092,1.57279,1,0.999666,0.00670597,-0.0249569,0,-0.00675862,0.999975,-0.00202579,0,0.0249427,0.00219379,0.999686,0,0.0487698,0.0341935,-0.201235,1,0.322641,0.0765242,0.0377868,0.209864,0.18879
13,391,204,10,0.978183,-0.0180528,0.20696,0,0.0147001,0.999735,0.0177261,0,-0.207225,-0.014297,0.978189,0,-0.399297,-0.107452,1.74831,1,0.999628,0.00553671,-0.0266965,0,-0.00560391,0.999981,-0.002443,0,0.0266824,0.0025917,0.999641,0,0.0449051,0.00835263,-0.189084,1,0.462248,0.0876594,0.0176391,0.194523,0.196868
14,372,211,11,0.971086,-0.0178272,0.238064,0,0.0140228,0.999746,0.0176647,0,-0.238318,-0.0138156,0.971089,0,-0.438312,-0.135417,1.93253,1,0.999491,-0.000675378,-0.0318929,0,0.000672478,1,-0.000101633,0,0.0318929,8.01336e-05,0.999491,0,-0.00646751,0.0252506,-0.18858,1,0.378459,0.103441,0.0437879,0.190373,0.204842
15,358,206,14,0.963345,-0.020376,0.26749,0,0.0161329,0.999707,0.0180512,0,-0.26778,-0.0130741,0.963391,0,-0.544531,-0.138996,2.1235,1,0.999534,0.00214175,-0.0304556,0,-0.00213688,0.999998,0.000192183,0,0.030456,-0.000127013,0.999536,0,0.0511697,0.0018444,-0.212469,1,0.386643,0.107868,0.0205687,0.218552,0.211977
16,330,194,9,0.953758,-0.0228335,0.299707,0,0.0183845,0.999675,0.0176563,0,-0.300012,-0.0113298,0.953868,0,-0.626362,-0.140263,2.3048,1,0.999432,0.00206411,-0.0336341,0,-0.00202988,0.999997,0.00105183,0,0.0336362,-0.000982959,0.999434,0,0.0236815,-0.000430652,-0.197499,1,0.362617,0.111593,0.0214668,0.198915,0.218732
17,352,181,10,0.942828,-0.0268841,0.332195,0,0.0221743,0.999593,0.0179611,0,-0.332542,-0.00956802,0.94304,0,-0.759127,-0.131976,2.51338,1,0.999404,0.00370777,-0.0343114,0,-0.00367658,0.999993,0.000972007,0,0.0343148,-0.000845279,0.999411,0,0.0561067,-0.00908574,-0.240773,1,0.430693,0.101994,0.0321565,0.247391,0.223085
